volatile acidity,total sulfur dioxide,sulphates,alcohol,target
0.38,71.0,0.85,11.0,6
0.6,41.0,0.62,10.1,6
0.56,22.0,0.44,9.6,5
0.24,22.0,0.94,10.9,6
0.32,34.0,0.8,11.6,7
0.6,10.0,0.63,10.4,6
0.54,112.0,0.61,9.4,5
0.48,32.0,1.06,9.1,6
0.64,133.0,0.45,9.9,5
0.43,37.0,0.91,9.5,5
0.43,51.0,0.64,10.4,5
0.28,100.0,0.39,11.7,7
0.56,22.0,0.44,9.6,5
0.55,56.0,0.6,10.9,6
0.56,22.0,0.61,10.2,5
0.31,47.0,1.02,10.6,7
0.35,44.0,0.79,11.1,6
0.91,47.0,0.43,10.7,6
0.4,29.0,0.49,11.3,7
1.24,151.0,0.53,9.5,5
0.54,147.0,0.59,9.7,5
0.36,41.0,0.66,12.5,6
0.98,33.0,0.46,11.2,6
0.64,46.0,0.45,11.0,5
0.43,37.0,0.91,9.5,5
0.56,47.0,0.93,9.5,5
0.7,81.0,0.7,9.4,5
0.39,53.0,0.62,12.2,6
0.22,60.0,0.53,9.4,6
0.2,18.0,0.71,10.5,5
0.45,12.0,0.65,11.4,6
0.61,46.0,0.51,9.3,4
0.34,68.0,0.48,9.4,5
0.58,14.0,1.03,11.6,6
0.415,45.0,0.64,9.2,5
0.655,151.0,1.14,9.3,5
0.64,31.0,0.58,10.4,6
0.705,26.0,0.49,9.7,5
0.64,23.0,0.67,9.4,6
0.51,101.0,0.87,12.9,7
0.635,60.0,0.75,10.9,6
0.4,47.0,0.48,9.4,6
0.37,38.0,0.6,13.0,7
0.33,12.0,0.76,12.8,7
0.7,34.0,0.56,9.4,5
0.42,29.0,0.75,11.7,7
0.63,38.0,0.58,9.0,6
0.65,40.0,0.6,9.1,5
0.47,38.0,0.85,11.1,6
0.64,53.0,0.67,9.9,5
0.56,108.0,0.54,9.5,5
0.28,23.0,0.66,9.2,5
0.38,13.0,0.75,10.5,6
0.28,24.0,0.89,9.4,6
0.82,14.0,0.53,9.6,5
0.52,37.0,0.5,11.0,5
0.53,12.0,0.86,9.2,5
0.4,17.0,0.67,9.3,6
0.635,33.0,0.69,10.8,7
0.33,25.0,0.76,12.4,7
0.42,18.0,0.61,9.2,6
0.51,54.0,0.74,9.2,5
0.54,48.0,0.74,9.2,6
0.6,131.0,0.52,9.9,5
0.66,86.0,0.57,9.7,5
0.5,51.0,0.72,11.5,6
0.52,37.0,0.5,11.0,5
0.685,23.0,0.47,9.4,5
0.63,91.0,0.58,9.8,6
0.44,15.0,0.67,10.2,6
0.56,29.0,0.62,11.7,7
0.835,19.0,0.47,9.6,5
0.5,17.0,0.71,10.5,6
0.51,31.0,0.54,10.5,6
0.72,38.0,0.53,9.5,5
0.605,83.0,0.52,9.4,6
0.41,20.0,0.79,12.2,7
0.635,33.0,0.69,10.8,7
0.67,39.0,0.74,9.7,5
0.63,69.0,0.63,10.2,6
0.5,102.0,0.8,10.5,5
0.29,53.0,1.01,12.4,7
0.39,133.0,0.99,9.8,5
0.34,18.0,0.55,11.4,5
0.695,20.0,0.54,10.1,5
0.695,56.0,0.67,9.2,5
0.685,143.0,0.55,9.4,5
0.27,16.0,0.7,9.7,5
0.39,26.0,0.75,10.2,6
0.58,32.0,0.55,9.5,5
0.47,106.0,0.59,9.1,5
0.6,59.0,0.46,9.4,5
0.38,19.0,0.57,9.4,5
0.43,63.0,0.58,10.5,6
0.57,27.0,0.84,12.5,7
0.49,99.0,1.0,11.5,6
0.33,13.0,0.62,12.1,7
0.39,50.0,0.83,10.9,6
0.62,46.0,0.89,11.8,6
0.56,104.0,0.62,9.4,5
0.36,70.0,0.5,9.4,5
0.3,19.0,0.88,10.5,7
0.61,87.0,0.6,9.7,6
0.71,31.0,0.58,10.0,6
0.34,9.0,0.69,12.1,7
0.86,57.0,0.74,11.7,6
0.41,54.0,0.89,9.9,6
0.69,89.0,0.54,9.2,6
0.44,76.0,0.85,12.0,7
0.38,35.0,0.47,9.5,5
0.31,29.0,0.82,9.8,8
0.49,136.0,1.95,9.9,6
0.63,43.0,0.64,10.9,6
0.67,141.0,0.62,9.4,5
0.46,104.0,0.56,9.2,5
0.865,58.0,0.49,12.7,6
0.69,94.0,0.48,9.5,5
0.5,31.0,0.72,9.6,6
0.64,11.0,0.69,10.1,7
0.39,125.0,1.22,9.5,5
0.73,42.0,0.52,9.3,5
0.69,104.0,0.51,9.5,5
0.52,20.0,0.81,9.6,6
0.35,47.0,0.81,11.0,6
0.37,145.0,1.03,9.3,5
0.39,14.0,0.75,9.8,6
0.55,35.0,0.82,11.6,6
0.65,18.0,0.54,11.95,5
0.33,45.0,0.65,9.3,5
0.41,36.0,0.75,11.1,6
0.47,38.0,0.85,11.1,6
0.785,30.0,0.55,10.7,6
0.655,35.0,0.42,9.6,5
0.29,57.0,1.36,10.3,6
0.55,37.0,0.67,9.6,5
0.6,105.0,0.49,9.9,5
0.685,22.0,0.6,9.7,5
0.43,19.0,0.87,11.4,6
0.41,41.0,0.76,9.9,7
0.51,22.0,0.84,11.2,6
0.65,90.0,0.52,9.2,5
0.32,44.0,0.77,11.5,6
0.48,64.0,0.61,10.5,6
0.54,16.0,0.59,11.5,6
0.47,135.0,0.53,9.4,5
1.02,24.0,0.55,11.2,4
0.41,47.0,0.62,10.4,5
0.52,61.0,0.59,10.8,6
0.805,20.0,0.56,9.6,5
0.605,25.0,0.55,12.9,5
0.74,76.0,0.55,9.4,5
0.59,47.0,0.56,9.6,4
0.6,111.0,0.66,9.8,5
0.43,66.0,0.64,9.5,5
0.57,16.0,0.69,9.5,5
0.47,29.0,0.46,9.5,5
0.54,95.0,0.77,9.0,6
0.305,11.0,0.52,11.5,6
0.32,37.0,0.78,10.0,6
0.5,21.0,0.87,9.8,6
0.685,37.0,0.57,10.6,6
0.34,63.0,0.79,14.0,6
0.53,25.0,0.59,9.3,6
0.52,35.0,0.62,9.5,7
0.78,13.0,0.49,9.5,5
0.58,37.0,0.56,10.0,5
0.625,119.0,1.12,9.1,4
0.4,49.0,0.81,9.7,6
0.54,40.0,0.62,9.4,5
0.69,58.0,0.72,10.2,5
0.745,48.0,0.47,9.7,6
0.51,45.0,0.96,12.1,6
0.34,78.0,0.7,10.0,6
0.31,127.0,1.62,9.5,5
0.875,14.0,0.52,11.5,5
0.7,19.0,0.53,10.0,6
0.4,47.0,0.77,10.5,7
0.475,28.0,0.65,10.0333333333333,6
0.49,36.0,0.48,9.4,5
0.28,10.0,0.7,12.8,7
0.53,25.0,0.61,9.4,6
0.24,22.0,1.05,10.8,7
0.58,40.0,0.66,12.6,6
0.51,40.0,0.75,11.0,6
0.57,11.0,0.76,10.8,6
0.58,104.0,0.57,9.7,5
0.6,15.0,0.49,9.1,5
0.67,62.0,0.56,10.2,6
0.645,23.0,0.74,11.1,5
0.74,77.0,0.51,9.8,5
0.38,10.0,0.58,11.9,7
0.98,152.0,0.48,9.4,5
0.26,10.0,0.72,10.2,7
0.5,22.0,0.63,9.2,5
0.61,110.0,1.02,9.3,5
0.82,96.0,0.53,10.0,5
0.63,32.0,0.66,9.8,5
0.645,28.0,0.6,10.0,6
0.955,19.0,0.44,9.6,4
0.46,98.0,0.63,9.5,6
0.28,10.0,0.7,12.8,7
0.56,46.0,0.57,10.6,5
0.67,20.0,0.67,11.3,6
0.27,18.0,1.13,12.0,7
0.28,12.0,0.62,12.4,7
0.59,85.0,0.59,9.8,5
0.5,14.0,0.44,9.6,5
0.46,15.0,0.62,9.5,5
0.98,49.0,0.55,9.7,3
0.53,27.0,0.56,10.2,6
0.39,18.0,0.49,9.5,5
0.49,88.0,0.8,9.3,5
0.52,140.0,0.54,9.5,5
0.49,15.0,0.43,9.2,5
0.33,30.0,0.54,12.0,6
0.73,13.0,0.52,9.5,5
0.52,18.0,0.52,9.4,5
0.58,36.0,0.53,11.2,6
0.77,52.0,0.68,9.9,5
0.36,65.0,0.62,9.5,6
0.52,49.0,0.86,10.6,7
0.46,54.0,0.64,10.4,6
0.55,28.0,0.55,9.7,5
0.34,36.0,0.78,12.4,6
0.5,102.0,0.8,10.5,5
0.61,38.0,0.65,9.8,5
0.38,15.0,0.64,11.4,6
0.43,32.0,0.5,9.6,5
0.69,58.0,0.72,10.2,5
0.34,9.0,0.66,11.6,7
0.18,109.0,0.44,12.7,6
0.88,147.0,0.53,9.4,5
0.65,65.0,0.64,10.4,6
0.665,95.0,0.54,9.1,5
0.32,58.0,0.97,10.6,5
0.36,55.0,0.73,10.9,6
0.695,21.0,0.84,12.2,7
0.66,59.0,0.71,11.5,7
0.51,25.0,0.56,9.5,6
0.45,87.0,0.83,10.5,5
0.395,28.0,0.67,12.4,6
0.84,33.0,0.55,9.7,5
0.47,47.0,0.68,12.7,6
0.49,37.0,0.51,10.5,5
0.715,27.0,0.5,11.9,5
0.66,23.0,0.96,9.9,6
0.54,95.0,0.77,9.0,6
0.4,44.0,0.92,9.5,6
0.6,105.0,0.49,9.9,5
0.39,27.0,0.49,9.4,5
0.6,91.0,0.56,9.8,6
0.41,45.0,1.26,9.4,5
0.825,13.0,0.77,10.7,6
0.6,34.0,0.7,9.9,6
0.775,56.0,0.67,10.6,6
0.82,48.0,0.58,9.8,5
0.59,14.0,0.55,11.5,7
1.02,11.0,0.49,11.0,3
0.705,63.0,1.59,9.5,5
0.51,40.0,0.75,11.0,6
0.43,16.0,0.7,12.5,6
1.005,32.0,0.48,10.0,5
0.61,29.0,1.56,9.1,5
0.54,31.0,0.6,9.3,6
0.48,10.0,0.59,12.1,7
0.42,42.0,0.74,14.0,7
0.73,102.0,0.59,9.3,5
0.31,46.0,0.67,9.7,6
0.39,35.0,0.61,10.8,6
0.62,84.0,0.53,9.7,5
0.21,32.0,0.68,11.7,6
0.59,121.0,0.49,9.4,5
0.44,28.0,0.65,10.8,6
0.6,14.0,0.74,11.9,6
0.52,53.0,0.57,9.1,5
0.43,128.0,0.71,10.5,5
0.68,20.0,1.08,9.2,4
0.42,12.0,0.69,11.7,8
1.02,88.0,0.57,10.1,6
0.58,94.0,0.58,9.5,6
0.24,20.0,1.06,11.0,6
0.61,24.0,0.77,11.1,6
0.18,23.0,0.97,10.1,6
0.715,35.0,0.65,11.4,6
0.575,65.0,0.51,9.2,5
0.42,122.0,1.07,9.7,5
0.31,40.0,0.51,9.8,6
0.63,88.0,0.58,9.8,6
0.74,46.0,0.59,12.5,6
0.4,10.0,0.56,12.0,4
0.46,35.0,0.56,9.0,6
0.625,49.0,0.57,11.0,5
0.43,39.0,0.46,11.9,6
0.6,110.0,1.17,10.2,5
0.26,38.0,0.47,10.8,6
0.58,54.0,0.73,9.7,5
0.74,45.0,0.5,9.8,5
0.54,110.0,0.61,9.2,5
0.47,38.0,0.65,9.6,6
0.42,43.0,0.61,9.5,5
0.4,20.0,0.5,10.5,5
0.5,46.0,0.62,10.7,6
0.44,76.0,0.85,12.0,7
0.53,44.0,0.83,10.3,6
0.36,79.0,0.72,11.0,6
0.67,33.0,0.71,9.6,5
0.47,66.0,0.76,10.8,6
0.61,16.0,0.63,8.4,3
0.47,110.0,0.6,9.8,5
0.6,99.0,0.54,10.1,5
0.38,12.0,0.55,11.4,6
0.735,124.0,0.53,9.9,5
0.85,54.0,0.54,10.1,5
0.63,91.0,0.58,9.8,6
0.66,11.0,0.63,12.8,7
0.56,56.0,1.28,9.3,5
0.46,34.0,0.6,10.6,6
0.21,23.0,0.67,10.4,5
0.47,47.0,0.68,12.7,6
0.785,28.0,0.86,9.4,6
0.48,16.0,0.53,10.3,5
0.6,28.0,0.62,10.2,7
0.59,73.0,0.7,9.5,6
0.44,111.0,0.6,9.5,5
0.745,63.0,0.82,9.6,5
0.36,20.0,0.72,11.1,7
0.34,113.0,0.79,11.1,5
0.82,64.0,0.53,9.4,5
0.62,145.0,0.88,9.2,5
0.52,122.0,0.61,9.5,5
0.5,143.0,0.55,9.5,5
0.54,40.0,0.62,9.4,5
0.715,38.0,0.64,9.4,5
0.35,24.0,0.7,12.0,7
0.63,96.0,0.62,9.5,5
0.6,41.0,0.63,10.5,6
0.46,17.0,0.73,11.0,6
0.4,20.0,0.57,12.5,6
0.31,21.0,0.86,10.7,6
0.4,45.0,0.91,9.5,6
0.69,81.0,0.74,11.6,6
0.54,89.0,0.5,10.55,6
0.32,17.0,0.78,11.0,7
0.365,106.0,0.78,11.0,5
0.69,141.0,0.51,9.9,5
0.37,8.0,0.58,11.0,5
0.755,84.0,0.5,9.5,5
0.76,16.0,0.68,11.5,6
0.61,8.0,0.37,10.4,4
0.56,100.0,0.52,9.9,5
0.49,14.0,0.47,10.5,5
0.88,155.0,0.67,11.2,5
0.71,35.0,0.55,9.4,5
0.79,68.0,0.44,9.2,5
0.56,65.0,0.6,10.5,6
0.37,51.0,0.58,11.1,6
0.36,65.0,0.62,9.5,6
0.25,67.0,0.86,10.2,7
0.53,105.0,0.54,9.4,6
0.55,34.0,0.68,10.5,5
0.57,64.0,0.56,11.2,6
0.53,31.0,0.67,11.0,4
0.35,88.0,0.43,9.4,5
0.6,99.0,0.54,10.1,5
0.46,49.0,0.57,9.6,4
0.58,47.0,0.57,9.0,3
0.54,60.0,0.98,10.2,5
0.5,99.0,0.63,13.0,5
0.56,27.0,0.87,10.9,5
0.75,18.0,0.4,12.8,6
0.31,10.0,0.83,10.9,7
0.18,23.0,0.97,10.1,6
0.6,24.0,0.59,9.2,6
0.35,26.0,0.6,11.9,6
0.58,60.0,0.59,9.8,5
0.57,36.0,0.6,10.3,6
0.3,29.0,0.78,10.8,6
1.58,9.0,0.4,10.9,3
0.63,28.0,0.64,10.1,6
0.18,67.0,0.93,11.3,5
0.59,68.0,0.63,9.5,5
0.59,43.0,0.58,10.7,6
0.46,37.0,0.65,9.8,5
0.49,85.0,0.58,9.0,5
0.84,10.0,0.48,9.1,6
0.43,11.0,0.54,12.2,6
0.59,71.0,0.71,9.8,5
0.32,65.0,0.79,10.7,5
0.36,65.0,0.54,10.1,6
0.59,68.0,0.63,9.5,5
0.755,12.0,0.49,9.7,4
0.31,10.0,0.68,11.2,7
0.915,78.0,0.73,11.4,5
0.61,20.0,0.6,10.2,6
0.54,78.0,0.71,11.0,5
0.56,9.0,0.54,11.5,6
0.29,27.0,0.84,11.7,7
0.52,38.0,0.65,9.0,6
0.65,40.0,0.55,9.5,5
0.54,66.0,0.61,9.4,5
0.58,55.0,0.59,10.2,5
0.66,11.0,0.66,12.7,7
0.59,18.0,0.59,10.8,7
0.38,30.0,0.73,9.7,7
0.53,45.0,0.68,10.3,6
0.61,25.0,0.73,10.5,5
0.28,13.0,0.79,10.2,6
0.58,63.0,0.68,11.4,6
0.49,14.0,0.9,10.5,6
0.49,133.0,1.98,9.8,5
0.415,43.0,0.8,10.0,6
0.61,69.0,0.5,10.0,6
0.675,11.0,0.65,9.55,5
0.54,40.0,0.61,10.0,6
0.59,60.0,0.42,9.2,5
0.45,47.0,1.11,11.0,6
0.6,38.0,0.53,9.8,5
0.29,60.0,0.61,10.1,6
0.52,13.0,0.76,11.4,6
0.49,33.0,0.59,12.5,6
0.31,16.0,0.79,11.8,7
0.295,21.0,0.51,10.9,6
0.48,106.0,0.53,9.2,5
0.27,18.0,1.13,12.0,7
0.7,15.0,0.6,9.0,6
1.07,89.0,0.57,9.0,5
0.28,100.0,0.39,11.7,7
0.645,14.0,0.42,10.0,6
0.21,24.0,0.84,9.2,7
0.57,73.0,0.48,9.2,5
0.44,24.0,0.66,13.4,6
0.31,28.0,0.7,10.0,7
1.33,12.0,0.48,10.9,5
0.58,22.0,0.49,11.7,5
0.725,79.0,0.54,9.2,5
0.39,11.0,0.46,11.4,5
0.885,12.0,0.51,10.8,5
0.36,8.0,0.53,11.9,6
0.53,139.0,0.57,9.5,5
0.59,32.0,0.61,10.0,5
0.54,55.0,0.84,11.4,6
0.685,43.0,0.68,11.2,7
0.43,58.0,0.64,10.3,5
1.0,37.0,0.55,9.0,6
0.5,127.0,0.62,9.4,5
0.645,28.0,0.61,12.5,6
0.37,42.0,0.81,10.8,7
0.635,60.0,0.75,10.9,6
1.02,85.0,0.48,10.5,4
0.47,33.0,0.48,12.3,6
0.42,88.0,0.73,13.6,7
0.61,88.0,0.53,9.8,5
0.24,24.0,0.9,11.0,7
0.45,6.0,0.63,10.4,5
0.25,41.0,0.8,12.4,7
0.59,81.0,1.61,9.5,6
0.41,37.0,0.67,10.8,5
0.39,14.0,0.75,9.8,6
0.46,8.0,0.62,12.2,6
0.52,20.0,0.64,11.8,6
1.04,96.0,0.62,11.5,5
0.76,54.0,0.65,9.8,5
0.42,55.0,0.64,12.3,7
0.725,15.0,0.53,9.6,5
0.36,10.0,0.62,11.3,6
0.45,15.0,0.56,9.2,5
0.87,31.0,0.5,9.8,5
0.49,43.0,0.58,9.0,5
0.31,10.0,0.83,10.9,7
0.59,48.0,0.56,9.7,5
0.58,18.0,0.84,9.4,5
0.7,27.0,0.6,11.9,6
0.43,56.0,0.6,9.5,6
0.635,56.0,1.15,9.3,5
0.61,108.0,0.51,9.4,5
0.53,29.0,0.61,12.1,6
0.41,42.0,0.66,10.5,5
0.46,64.0,0.74,9.6,5
