volatile acidity,total sulfur dioxide,sulphates,alcohol,target
0.52,69.0,2.0,9.4,4
0.58,7.0,0.58,11.2,6
0.69,141.0,0.51,9.9,5
0.12,21.0,0.76,11.9,7
0.41,101.0,0.53,10.0,5
0.3,289.0,0.51,12.3,7
0.43,48.0,0.46,9.4,5
0.59,8.0,0.47,10.3,5
0.57,49.0,0.6,12.8,5
0.39,101.0,0.51,9.5,5
0.58,18.0,0.56,10.5,7
0.9,99.0,0.68,9.3,5
0.43,129.0,0.72,10.5,5
0.39,48.0,0.84,11.5,6
0.63,110.0,0.77,9.4,5
0.37,15.0,0.8,11.2,6
0.43,70.0,0.69,10.5,6
0.715,81.0,0.54,9.5,6
0.645,23.0,0.74,11.1,5
0.29,11.0,0.54,13.5,6
0.54,27.0,0.91,9.4,6
0.5,14.0,0.52,10.0,4
0.4,27.0,0.9,13.4,7
0.85,88.0,0.82,12.9,8
0.45,22.0,0.66,11.2,6
0.34,10.0,0.54,11.2,7
0.8,12.0,0.5,12.2,5
0.56,32.0,0.6,11.3,5
0.28,32.0,0.67,10.6,7
0.635,55.0,0.57,10.4,4
0.57,27.0,0.7,9.6,6
0.37,47.0,0.57,10.5,5
0.37,51.0,0.72,11.8,6
0.32,47.0,0.61,10.6,5
0.55,56.0,0.6,10.9,6
0.5,24.0,0.68,10.9,6
0.47,125.0,0.61,9.4,5
0.64,33.0,0.63,11.3,6
0.31,39.0,0.69,11.8,5
0.43,74.0,0.54,9.9,6
0.5,39.0,0.83,11.1,6
0.545,35.0,0.59,9.0,6
0.595,109.0,0.57,9.3,5
0.54,13.0,0.58,11.4,5
0.21,10.0,0.58,11.1,7
0.65,40.0,0.55,9.5,5
0.665,55.0,0.51,9.3,5
0.84,65.0,0.72,9.25,6
0.75,18.0,0.4,12.8,6
0.48,28.0,0.67,11.2,7
0.23,60.0,0.71,12.1,6
0.38,42.0,0.72,12.9,7
0.39,21.0,0.66,11.6,6
0.57,144.0,0.55,9.4,5
0.39,7.0,0.58,11.4,4
0.46,98.0,0.62,9.8,5
0.84,13.0,0.57,11.0,4
0.4,53.0,0.7,10.3,6
0.46,37.0,0.49,10.7,5
0.39,84.0,0.61,9.0,5
0.745,64.0,0.59,9.5,6
0.73,31.0,0.57,11.0,5
0.34,16.0,0.7,11.3,6
0.57,36.0,0.71,11.3,7
0.34,13.0,0.62,9.2,5
0.32,56.0,1.08,9.2,6
0.51,54.0,0.93,10.7,6
0.67,42.0,0.82,10.9,6
0.57,36.0,0.6,10.3,6
0.2,15.0,0.8,11.9,7
0.53,24.0,0.66,10.8,6
0.64,23.0,0.58,9.6,5
0.36,8.0,0.55,12.8,7
0.24,22.0,0.94,10.9,6
0.24,24.0,0.9,11.0,7
0.77,74.0,0.5,9.8,6
0.68,22.0,0.5,9.3,5
0.61,25.0,0.73,10.5,5
0.855,23.0,0.6,11.0,6
1.18,41.0,0.47,10.5,5
0.39,27.0,0.49,9.4,5
0.5,17.0,0.62,11.2,5
0.48,10.0,0.59,12.1,7
0.69,91.0,0.62,10.1,5
0.46,49.0,0.57,10.0,5
0.65,38.0,0.74,11.7,7
0.69,38.0,0.6,9.3,5
0.66,23.0,0.74,9.2,5
0.58,69.0,0.7,11.0,6
0.39,71.0,0.65,9.7,5
0.735,41.0,0.71,9.8,6
0.62,24.0,0.53,9.0,5
0.32,19.0,0.55,10.4,6
0.52,30.0,0.6,9.3,5
0.47,44.0,0.62,12.8,6
0.33,80.0,0.8,9.6,6
0.52,13.0,0.76,11.4,6
0.33,12.0,0.61,10.7,5
0.57,9.0,0.54,9.8,6
0.48,23.0,0.43,9.05,4
0.56,24.0,0.68,10.55,7
0.44,64.0,0.57,11.7,6
0.26,10.0,0.87,10.9,6
0.32,19.0,0.71,11.8,7
0.37,58.0,0.7,9.6,6
0.645,44.0,0.71,10.2,5
0.56,24.0,0.82,11.2,6
0.77,74.0,0.64,10.4,6
0.57,26.0,0.61,10.2,5
0.69,21.0,0.6,11.3,6
0.41,43.0,0.64,9.1,5
0.645,57.0,0.46,10.3,5
0.43,63.0,0.58,10.5,6
0.41,54.0,0.89,9.9,6
0.45,87.0,0.83,10.5,5
0.6,106.0,0.6,12.9,6
0.31,42.0,0.66,11.0,6
0.37,49.0,0.62,9.8,6
0.4,16.0,0.69,12.5,8
0.815,90.0,0.62,10.8,5
1.035,54.0,0.49,9.9,5
0.69,10.0,0.6,9.7,6
0.59,94.0,0.53,9.7,6
0.54,52.0,0.71,11.4,6
0.34,37.0,0.77,12.1,7
0.845,14.0,0.58,11.0,4
0.57,65.0,0.43,10.1,5
0.42,38.0,0.66,11.1,6
0.46,37.0,0.49,10.7,5
0.66,11.0,0.63,12.8,7
0.855,23.0,0.6,11.0,6
0.5,26.0,0.58,9.8,6
0.48,122.0,0.62,9.4,5
0.28,60.0,0.58,9.8,6
0.395,10.0,0.64,12.2,7
0.53,19.0,0.46,9.8,5
0.39,24.0,0.53,13.3,6
0.59,22.0,0.7,9.3,6
0.59,49.0,0.65,11.0,6
0.42,25.0,0.44,10.4,5
0.34,75.0,0.64,9.4,5
0.43,67.0,0.59,11.1,6
0.64,119.0,0.7,10.9,5
0.45,23.0,0.69,10.9,6
0.44,20.0,0.79,11.1,7
0.52,26.0,0.72,12.5,7
0.33,37.0,0.89,11.1,7
0.33,13.0,1.1,10.0,8
0.67,20.0,0.63,10.1,5
0.44,38.0,1.1,9.4,5
0.6,44.0,0.58,10.5,5
0.42,64.0,0.68,10.4,6
0.965,22.0,0.5,9.5,5
0.37,65.0,0.78,10.1,5
0.5,68.0,0.72,10.9,6
0.64,101.0,0.52,10.2,5
0.53,17.0,0.56,11.7,6
0.44,95.0,0.67,9.4,5
0.41,41.0,0.76,11.3,6
0.43,45.0,0.73,10.0,6
0.55,66.0,0.56,9.2,5
0.26,10.0,0.87,10.9,6
0.44,48.0,0.86,9.9,3
0.28,9.0,0.6,10.9,6
0.78,15.0,0.56,11.3,5
0.49,26.0,0.78,12.5,7
0.76,52.0,0.6,11.5,6
0.36,12.0,0.67,10.5,6
0.54,27.0,0.91,9.4,6
0.35,37.0,0.86,12.8,8
0.52,59.0,0.48,10.2,5
0.64,29.0,0.6,10.0,6
0.685,63.0,0.81,9.9,5
0.88,47.0,0.5,11.2,4
1.025,84.0,0.57,10.1,5
0.45,6.0,0.63,10.4,5
0.895,13.0,0.58,10.8,6
0.48,106.0,0.62,12.2,7
0.31,33.0,0.66,10.0,6
0.68,51.0,0.52,9.5,5
0.56,47.0,0.93,9.5,5
0.745,134.0,0.66,9.4,5
0.58,44.0,0.43,9.3,5
0.61,42.0,0.59,9.5,5
0.52,38.0,0.61,10.5,6
0.5,26.0,0.45,9.5,5
0.6,37.0,0.61,10.9,6
0.35,47.0,0.81,11.0,6
0.61,42.0,0.59,9.5,5
0.885,145.0,0.53,9.4,5
0.43,23.0,0.61,11.3,6
0.83,43.0,0.6,10.4,6
0.795,52.0,0.52,11.6,5
0.45,38.0,0.71,10.8,5
0.51,34.0,0.57,11.5,6
0.4,79.0,0.65,9.5,6
0.38,24.0,0.71,10.9,6
0.5,42.0,0.68,10.5,7
0.34,74.0,0.81,12.0,6
0.28,29.0,1.36,9.8,7
0.38,42.0,0.61,10.3,5
0.62,12.0,0.48,9.8,5
0.6,13.0,0.56,10.8,5
0.3,27.0,0.97,10.1,6
0.41,54.0,1.16,10.6,6
0.78,15.0,0.56,11.3,5
0.49,74.0,0.62,12.2,6
0.63,37.0,0.76,9.7,6
0.59,49.0,0.65,11.0,6
0.59,71.0,0.71,9.8,5
0.715,43.0,0.57,11.8,6
0.5,26.0,0.45,9.5,5
0.33,19.0,0.73,12.0,7
0.39,60.0,0.78,9.9,5
0.62,85.0,0.54,9.5,5
0.62,13.0,0.62,10.1,4
0.61,65.0,0.58,9.3,5
0.64,31.0,0.66,9.8,5
0.89,60.0,1.18,10.2,5
0.58,21.0,0.72,9.6,5
0.49,14.0,0.78,10.9,6
0.74,16.0,0.63,11.5,6
0.9,10.0,0.56,9.8,5
0.59,58.0,0.65,9.3,6
0.55,35.0,0.59,9.7,6
0.43,28.0,0.81,10.6,6
0.61,38.0,0.65,9.8,5
0.46,34.0,0.6,10.6,6
0.52,32.0,0.63,11.6,6
0.67,96.0,0.48,9.5,5
0.32,44.0,0.77,11.5,6
0.39,20.0,0.58,9.4,5
0.31,43.0,0.77,12.5,7
0.615,72.0,0.53,9.7,5
0.28,68.0,0.66,11.2,5
0.48,25.0,0.66,12.4,6
0.36,48.0,0.77,9.7,6
0.735,124.0,0.53,9.9,5
0.37,16.0,0.8,9.3,5
0.49,25.0,0.63,12.0,6
0.24,28.0,0.61,10.4,5
0.38,70.0,0.59,9.5,6
0.67,48.0,0.54,9.5,6
0.685,12.0,0.65,9.55,6
0.56,39.0,0.62,9.3,5
0.49,16.0,0.6,9.5,6
0.41,43.0,0.57,10.5,6
0.915,39.0,0.54,11.1,5
0.73,13.0,0.52,9.5,5
0.25,49.0,0.76,10.9,7
0.53,17.0,0.56,11.7,6
0.53,144.0,0.6,9.5,5
0.38,20.0,0.76,10.4,6
1.185,14.0,0.54,10.7,3
0.22,77.0,0.87,11.0,7
0.31,92.0,0.48,10.5,6
0.41,55.0,0.88,11.0,5
0.77,74.0,0.64,10.4,6
0.7,34.0,0.56,9.4,5
0.39,30.0,0.63,10.8,7
0.56,32.0,0.6,11.3,5
0.725,11.0,0.39,10.9,5
0.41,14.0,0.62,9.5,6
0.42,47.0,0.78,10.0,6
0.53,72.0,0.57,9.4,5
0.66,9.0,0.47,9.4,5
0.27,26.0,0.53,12.5,6
0.59,13.0,0.56,11.4,5
0.68,29.0,0.52,11.1,4
0.785,98.0,0.52,9.56666666666667,6
0.66,59.0,0.54,9.6,5
0.875,14.0,0.52,10.2,3
0.64,77.0,0.62,9.1,6
0.4,25.0,0.74,10.1,7
0.5,49.0,0.79,9.5,5
0.42,20.0,0.53,11.0,5
0.49,26.0,0.64,9.8,6
0.55,34.0,0.68,10.5,5
0.47,89.0,0.88,13.6,7
0.37,49.0,0.67,9.3,5
0.59,62.0,0.63,10.2,6
0.78,66.0,1.17,9.2,5
0.66,40.0,0.56,9.4,5
0.7,35.0,0.69,10.9,5
0.43,40.0,0.49,9.0,5
0.315,6.0,0.67,11.9,6
0.26,19.0,0.82,9.3,6
0.65,25.0,0.67,9.5,6
0.58,9.0,0.57,10.3,4
0.3,28.0,0.77,10.8,7
0.5,14.0,0.52,10.7,6
0.36,42.0,0.57,11.7,6
0.5,14.0,0.64,9.4,6
1.04,29.0,0.55,9.9,6
0.52,38.0,0.65,9.0,6
0.63,30.0,0.75,9.8,5
0.28,103.0,0.75,10.5,7
0.57,89.0,0.9,10.1,5
0.43,39.0,0.46,11.9,6
0.475,28.0,0.65,10.0333333333333,6
0.43,12.0,0.63,9.5,6
0.48,18.0,0.68,11.2,7
0.4,12.0,0.56,9.2,5
0.23,67.0,0.63,11.1,5
0.4,24.0,0.69,10.6,6
0.635,18.0,0.59,10.3,6
0.44,19.0,0.63,11.6,7
0.44,18.0,0.69,11.3,6
0.33,22.0,0.74,11.2,7
0.415,43.0,0.8,10.0,6
0.57,27.0,0.59,10.4,6
0.53,19.0,0.86,12.4,6
0.39,39.0,0.81,10.9,7
0.65,25.0,0.67,9.5,6
0.34,12.0,0.63,10.7,5
0.39,25.0,0.43,9.7,6
0.47,19.0,0.73,10.6,6
0.36,79.0,0.72,11.0,6
0.41,23.0,0.58,11.2,5
0.35,11.0,0.52,12.0,6
0.81,14.0,0.66,10.8,6
0.21,165.0,0.59,11.9,6
0.59,29.0,0.5,9.0,4
0.67,13.0,0.71,9.5,6
0.915,23.0,0.47,10.0,4
0.43,128.0,0.71,10.5,5
0.52,92.0,0.6,9.8,5
0.62,45.0,0.53,9.5,5
0.28,46.0,1.04,10.6,6
0.25,33.0,0.9,10.0,6
0.41,94.0,0.58,9.1,5
0.34,15.0,0.66,9.2,6
0.68,28.0,0.6,10.2,5
0.51,28.0,0.73,9.5,6
0.775,48.0,0.51,9.6,5
0.785,21.0,0.67,10.0,5
0.35,21.0,0.53,10.5,5
0.32,8.0,0.73,11.4,6
0.35,16.0,0.65,11.0,8
0.74,26.0,0.56,11.6,6
0.58,18.0,0.57,9.5,7
0.26,74.0,0.63,11.8,8
0.75,30.0,0.64,10.5,5
0.41,51.0,0.55,9.5,6
0.45,29.0,0.49,10.2,6
0.37,28.0,0.73,11.3,7
0.72,52.0,0.94,10.0,5
0.56,28.0,0.5,9.4,6
0.43,22.0,0.55,9.5,5
0.66,45.0,0.54,9.5,5
0.34,57.0,0.47,9.0,6
0.43,23.0,0.85,10.4,7
0.64,33.0,0.58,11.0,5
0.12,21.0,0.76,11.9,7
0.34,52.0,0.58,10.1,5
0.47,20.0,0.63,10.5,5
0.4,43.0,0.61,10.5,6
0.68,94.0,0.52,10.0,5
1.33,12.0,0.49,10.9,5
0.43,66.0,0.64,9.5,5
0.65,40.0,0.55,9.5,5
0.49,24.0,0.83,11.3,6
0.55,40.0,0.59,10.1,5
0.32,13.0,0.82,12.6,8
0.74,10.0,0.57,11.8,6
0.33,11.0,0.53,10.3,6
0.53,14.0,0.64,10.0,6
0.43,45.0,0.54,10.3,5
0.5,23.0,0.61,10.4,5
0.58,53.0,0.76,11.6,7
0.49,30.0,0.58,10.2,6
0.57,9.0,0.54,9.8,6
0.43,22.0,0.55,9.5,5
0.22,18.0,0.56,12.4,6
0.575,65.0,0.51,9.2,5
0.88,67.0,0.68,9.8,5
0.9,17.0,0.63,10.9,6
0.7,27.0,0.58,10.2,5
0.57,11.0,0.68,9.5,5
0.39,149.0,0.5,11.5,6
0.36,21.0,0.62,9.2,6
0.86,28.0,0.62,10.0,5
0.58,13.0,0.62,11.5,4
0.775,86.0,0.59,9.5,5
0.46,44.0,0.74,10.0,6
0.3,24.0,0.64,12.1,7
0.44,14.0,0.69,11.0,6
0.615,42.0,0.73,10.0,7
0.725,62.0,0.56,10.0,6
0.27,10.0,1.08,9.9,7
0.45,75.0,0.57,9.7,5
0.53,19.0,0.46,9.8,5
0.5,17.0,0.71,10.5,6
0.32,24.0,0.82,10.3,7
0.84,48.0,0.56,12.3,7
0.31,60.0,0.85,11.4,6
0.34,15.0,0.66,9.2,6
0.61,69.0,0.5,10.0,6
0.6,131.0,0.52,9.9,5
0.18,109.0,0.44,12.7,6
0.45,18.0,0.65,9.3,6
0.51,31.0,0.54,10.5,6
0.35,48.0,0.54,10.0,4
0.78,26.0,0.46,9.6,4
0.64,31.0,0.66,9.8,5
0.32,15.0,0.78,9.6,5
0.36,8.0,0.55,12.8,7
0.26,24.0,1.04,10.9,7
0.48,64.0,0.49,9.6,5
0.56,44.0,0.52,11.0,5
0.56,35.0,0.63,10.0,6
0.66,86.0,0.57,9.7,5
0.67,24.0,0.72,11.1,6
0.965,22.0,0.5,9.5,5
0.59,53.0,0.67,9.7,5
0.615,19.0,0.61,9.3,5
0.46,15.0,0.87,10.2,5
0.41,25.0,0.79,13.3,7
0.8,28.0,0.65,10.4,6
0.49,15.0,0.93,12.0,6
0.41,42.0,0.77,12.6,7
0.63,65.0,0.58,9.6,5
0.56,21.0,0.49,9.9,5
0.58,31.0,0.64,10.2,6
0.5,82.0,0.75,8.8,5
0.31,43.0,0.77,12.5,7
0.55,48.0,0.64,10.3,6
0.59,22.0,0.58,10.3,5
0.53,39.0,0.48,9.8,6
0.72,32.0,0.54,9.6,5
0.42,21.0,0.93,11.8,6
0.72,49.0,0.72,11.1,6
0.5,73.0,0.57,9.1,5
0.41,31.0,0.65,10.2,5
0.76,64.0,1.33,9.1,6
0.63,38.0,0.58,9.0,6
0.56,105.0,0.54,9.5,5
0.55,72.0,0.63,9.2,5
0.52,39.0,0.58,9.6,5
0.815,34.0,0.89,12.3,7
0.96,16.0,0.44,11.9,6
0.42,59.0,0.77,12.0,6
0.65,21.0,0.47,10.0,7
0.46,45.0,1.34,9.2,5
0.49,31.0,0.64,9.6,5
0.3,61.0,0.78,10.3,6
0.33,68.0,0.48,9.4,5
0.26,23.0,0.7,9.6,6
0.55,28.0,0.78,9.5,6
0.26,77.0,0.79,10.9,6
0.54,38.0,0.56,10.9,5
0.87,67.0,0.46,9.2,5
0.38,72.0,0.73,10.5,5
0.59,104.0,0.52,9.9,5
0.38,41.0,0.68,9.8,6
0.37,82.0,0.68,9.7,6
0.44,28.0,0.53,10.2,6
0.33,35.0,0.71,11.0,6
0.44,24.0,0.99,12.0,7
0.57,35.0,0.62,10.8,6
0.38,28.0,0.75,12.6,7
0.4,54.0,0.86,10.5,6
0.35,75.0,0.58,9.5,6
0.59,43.0,0.58,10.7,6
0.44,11.0,0.85,11.7,6
0.6,86.0,0.57,9.3,6
0.46,18.0,0.79,14.0,6
0.63,30.0,0.75,9.8,5
0.53,14.0,0.74,11.5,7
0.935,114.0,0.73,9.2,5
0.36,8.0,0.53,11.9,6
0.48,20.0,0.66,11.7,6
0.29,27.0,0.84,11.7,7
0.49,144.0,0.55,9.5,5
0.4,52.0,0.64,9.2,5
0.31,28.0,0.93,9.8,6
0.57,41.0,0.52,10.8,5
0.69,91.0,0.62,10.1,5
0.3,28.0,0.77,10.8,7
0.685,9.0,0.55,10.9,4
0.615,18.0,0.65,9.2,5
